appearance_id,capture_date,bee_number,assigned_tag,tag_type,tag_id,status,image_count,angles,declared_tags,decoder_statuses,review_flags,source_assigned_tag,source_status,reviewed_tag,review_status,review_note,domain_status,analysis_included
2026-05-02/bee-1,2026-05-02,1,aruco:70,aruco,70,assigned,1,1,aruco:70,decoder_conflict,decoder_competition_or_disagreement,aruco:70,assigned,aruco:70,confirmed,,in_domain,true
2026-05-02/bee-2,2026-05-02,2,aruco:258,aruco,258,assigned,2,1;2,aruco:258,decoder_no_confirmation,decoder_did_not_confirm_all_images,aruco:258,assigned,aruco:258,confirmed,,in_domain,true
2026-05-02/bee-3,2026-05-02,3,aruco:206,aruco,206,assigned,1,1,aruco:206,decoder_confirmed_with_competing_ids,decoder_competition_or_disagreement,aruco:206,assigned,aruco:206,confirmed,,in_domain,true
2026-05-02/bee-4,2026-05-02,4,aruco:213,aruco,213,assigned,1,1,aruco:213,decoder_confirmed_with_competing_ids,decoder_competition_or_disagreement,aruco:213,assigned,aruco:213,confirmed,,in_domain,true
2026-05-02/bee-5,2026-05-02,5,aruco:240,aruco,240,assigned,1,1,aruco:240,decoder_conflict,decoder_competition_or_disagreement,aruco:240,assigned,aruco:240,confirmed,,in_domain,true
2026-05-02/bee-6,2026-05-02,6,aruco:205,aruco,205,assigned,1,1,aruco:205,decoder_conflict,decoder_competition_or_disagreement,aruco:205,assigned,aruco:205,confirmed,,in_domain,true
2026-05-02/bee-7,2026-05-02,7,aruco:251,aruco,251,assigned,1,1,aruco:251,decoder_conflict,decoder_competition_or_disagreement,aruco:251,assigned,aruco:251,confirmed,,in_domain,true
2026-05-02/bee-8,2026-05-02,8,aruco:145,aruco,145,assigned,1,1,aruco:2219,decoder_confirmed,,aruco:2219,assigned,aruco:145,confirmed,,in_domain,true
2026-05-02/bee-9,2026-05-02,9,aruco:158,aruco,158,assigned,1,1,,decoder_found_id,decoder_competition_or_disagreement,,missing_tag,aruco:158,confirmed,,in_domain,true
2026-05-02/bee-10,2026-05-02,10,aruco:180,aruco,180,assigned,1,1,,no_tag_decoded,decoder_did_not_confirm_all_images,,missing_tag,aruco:180,confirmed,,in_domain,true
2026-05-02/bee-11,2026-05-02,11,aruco:257,aruco,257,assigned,1,1,aruco:257,decoder_conflict,decoder_competition_or_disagreement,aruco:257,assigned,aruco:257,confirmed,,in_domain,true
2026-05-02/bee-12,2026-05-02,12,aruco:244,aruco,244,assigned,1,1,aruco:244,decoder_conflict,decoder_competition_or_disagreement,aruco:244,assigned,aruco:244,confirmed,,in_domain,true
2026-05-02/bee-13,2026-05-02,13,aruco:263,aruco,263,assigned,2,1;2,aruco:263,decoder_confirmed;decoder_no_confirmation,decoder_did_not_confirm_all_images,aruco:263,assigned,aruco:263,confirmed,,in_domain,true
2026-05-02/bee-14,2026-05-02,14,aruco:248,aruco,248,assigned,1,1,aruco:248,decoder_no_confirmation,decoder_did_not_confirm_all_images,aruco:248,assigned,aruco:248,confirmed,,in_domain,true
2026-05-02/bee-15,2026-05-02,15,,,,missing_tag,1,1,,decoder_found_id,decoder_competition_or_disagreement,,missing_tag,,dorsal,,in_domain,true
2026-05-02/bee-16,2026-05-02,16,aruco:228,aruco,228,assigned,1,1,aruco:228,decoder_no_confirmation,decoder_did_not_confirm_all_images,aruco:228,assigned,aruco:228,confirmed,,in_domain,true
2026-05-02/bee-17,2026-05-02,17,aruco:224,aruco,224,assigned,2,1;2,,decoder_found_id;no_tag_decoded,decoder_competition_or_disagreement;decoder_did_not_confirm_all_images,,missing_tag,aruco:224,confirmed,,in_domain,true
2026-05-02/bee-18,2026-05-02,18,aruco:245,aruco,245,assigned,2,1;2,,decoder_found_id;no_tag_decoded,decoder_competition_or_disagreement;decoder_did_not_confirm_all_images,,missing_tag,aruco:245,confirmed,,in_domain,true
2026-05-02/bee-19,2026-05-02,19,aruco:226,aruco,226,assigned,1,1,,no_tag_decoded,decoder_did_not_confirm_all_images,,missing_tag,aruco:226,confirmed,,in_domain,true
2026-05-02/bee-20,2026-05-02,20,aruco:220,aruco,220,assigned,1,1,aruco:220,decoder_conflict,decoder_competition_or_disagreement,aruco:220,assigned,aruco:220,confirmed,,in_domain,true
2026-05-02/bee-21,2026-05-02,21,aruco:207,aruco,207,assigned,2,1;2,,decoder_found_id;no_tag_decoded,decoder_competition_or_disagreement;decoder_did_not_confirm_all_images,,missing_tag,aruco:207,confirmed,,in_domain,true
2026-05-02/bee-22,2026-05-02,22,aruco:231,aruco,231,assigned,1,1,aruco:231,decoder_confirmed,,aruco:231,assigned,aruco:231,confirmed,,in_domain,true
