capture_date,capture_records_present,unique_tagged_appearance_count,aruco_captures,n8tag_captures,new_bees_tagged,new_aruco_tags,new_n8tags,recaptured_aruco_individuals,cumulative_unique_bees
2026-05-02,true,32,32,0,32,32,0,0,32
2026-05-03,false,,,,,,,,32
2026-05-04,false,,,,,,,,32
2026-05-05,false,,,,,,,,32
2026-05-06,false,,,,,,,,32
2026-05-07,false,,,,,,,,32
2026-05-08,true,0,0,0,0,0,0,0,32
2026-05-09,false,,,,,,,,32
2026-05-10,true,0,0,0,0,0,0,0,32
2026-05-11,false,,,,,,,,32
2026-05-12,false,,,,,,,,32
2026-05-13,true,0,0,0,0,0,0,0,32
2026-05-14,false,,,,,,,,32
2026-05-15,false,,,,,,,,32
2026-05-16,false,,,,,,,,32
2026-05-17,false,,,,,,,,32
2026-05-18,false,,,,,,,,32
2026-05-19,false,,,,,,,,32
2026-05-20,false,,,,,,,,32
2026-05-21,true,32,32,0,32,32,0,0,64
2026-05-22,false,,,,,,,,64
2026-05-23,false,,,,,,,,64
2026-05-24,false,,,,,,,,64
2026-05-25,false,,,,,,,,64
2026-05-26,false,,,,,,,,64
2026-05-27,false,,,,,,,,64
2026-05-28,true,42,42,0,41,41,0,1,105
2026-05-29,true,61,61,0,59,59,0,2,164
2026-05-30,false,,,,,,,,164
2026-05-31,false,,,,,,,,164
2026-06-01,true,30,30,0,29,29,0,1,193
2026-06-02,true,14,14,0,10,10,0,4,203
2026-06-03,false,,,,,,,,203
2026-06-04,false,,,,,,,,203
2026-06-05,false,,,,,,,,203
2026-06-06,false,,,,,,,,203
2026-06-07,false,,,,,,,,203
2026-06-08,false,,,,,,,,203
2026-06-09,false,,,,,,,,203
2026-06-10,true,115,115,0,111,111,0,4,314
2026-06-11,true,122,122,0,115,115,0,7,429
2026-06-12,false,,,,,,,,429
2026-06-13,false,,,,,,,,429
2026-06-14,false,,,,,,,,429
2026-06-15,false,,,,,,,,429
2026-06-16,true,102,102,0,85,85,0,17,514
2026-06-17,true,72,72,0,52,52,0,20,566
2026-06-18,false,,,,,,,,566
2026-06-19,false,,,,,,,,566
2026-06-20,false,,,,,,,,566
2026-06-21,false,,,,,,,,566
2026-06-22,true,57,57,0,45,45,0,12,611
2026-06-23,true,45,45,0,37,37,0,8,648
2026-06-24,true,44,44,0,36,36,0,8,684
2026-06-25,false,,,,,,,,684
2026-06-26,false,,,,,,,,684
2026-06-27,false,,,,,,,,684
2026-06-28,false,,,,,,,,684
2026-06-29,false,,,,,,,,684
2026-06-30,true,9,9,0,9,9,0,0,693
2026-07-01,true,25,25,0,25,25,0,0,718
2026-07-02,false,,,,,,,,718
2026-07-03,false,,,,,,,,718
2026-07-04,false,,,,,,,,718
2026-07-05,false,,,,,,,,718
2026-07-06,true,14,14,0,14,14,0,0,732
2026-07-07,true,69,69,0,64,64,0,5,796
2026-07-08,true,46,46,0,40,40,0,6,836
2026-07-09,false,,,,,,,,836
2026-07-10,false,,,,,,,,836
2026-07-11,false,,,,,,,,836
2026-07-12,false,,,,,,,,836
2026-07-13,true,21,21,0,17,17,0,4,853
2026-07-14,true,53,53,0,44,44,0,9,897
2026-07-15,true,30,30,0,19,19,0,11,916
2026-07-16,false,,,,,,,,916
2026-07-17,false,,,,,,,,916
2026-07-18,false,,,,,,,,916
2026-07-19,false,,,,,,,,916
2026-07-20,false,,,,,,,,916
2026-07-21,true,31,31,0,28,28,0,3,944
2026-07-22,true,31,31,0,23,23,0,8,967
2026-07-23,false,,,,,,,,967
2026-07-24,false,,,,,,,,967
2026-07-25,false,,,,,,,,967
2026-07-26,false,,,,,,,,967
2026-07-27,true,18,9,9,9,0,9,9,976
2026-07-28,true,23,4,19,19,0,19,4,995
