tag_id,bee_number,first_assignment_date,recaptured,recapture_1_date,recapture_2_date,recapture_3_date
aruco:0,32,2026-05-28,false,,,
aruco:1,39,2026-05-29,false,,,
aruco:2,5,2026-05-29,true,2026-06-16,,
aruco:4,28,2026-05-02,false,,,
aruco:5,10,2026-05-29,false,,,
aruco:6,20,2026-05-29,false,,,
aruco:7,41,2026-05-28,false,,,
aruco:8,1,2026-05-29,false,,,
aruco:9,6,2026-05-29,false,,,
aruco:10,33,2026-05-28,false,,,
aruco:11,14,2026-05-29,false,,,
aruco:12,9,2026-05-29,false,,,
aruco:13,34,2026-05-29,false,,,
aruco:14,36,2026-05-28,false,,,
aruco:15,18,2026-05-29,false,,,
aruco:16,24,2026-05-29,false,,,
aruco:17,33,2026-05-29,false,,,
aruco:18,19,2026-05-29,false,,,
aruco:19,2,2026-05-29,false,,,
aruco:20,13,2026-05-29,false,,,
aruco:21,37,2026-05-28,false,,,
aruco:22,8,2026-05-29,false,,,
aruco:23,23,2026-05-29,false,,,
aruco:24,11,2026-05-29,false,,,
aruco:25,27,2026-05-29,false,,,
aruco:26,39,2026-05-28,false,,,
aruco:27,3,2026-05-29,false,,,
aruco:28,45,2026-05-29,false,,,
aruco:29,7,2026-05-29,false,,,
aruco:30,29,2026-05-29,false,,,
aruco:31,17,2026-05-29,false,,,
aruco:32,16,2026-05-29,false,,,
aruco:33,12,2026-05-29,false,,,
aruco:34,25,2026-05-29,false,,,
aruco:35,21,2026-05-29,false,,,
aruco:36,42,2026-05-28,false,,,
aruco:37,30,2026-05-02,true,2026-05-29,2026-06-01,
aruco:38,38,2026-05-28,false,,,
aruco:39,38,2026-05-29,false,,,
aruco:40,36,2026-05-29,false,,,
aruco:41,37,2026-05-29,false,,,
aruco:42,22,2026-05-29,false,,,
aruco:43,15,2026-05-29,false,,,
aruco:44,34,2026-05-28,false,,,
aruco:47,35,2026-05-29,false,,,
aruco:48,40,2026-05-28,false,,,
aruco:49,28,2026-05-29,false,,,
aruco:51,35,2026-05-28,false,,,
aruco:52,31,2026-05-29,false,,,
aruco:56,41,2026-05-29,true,2026-06-10,2026-06-17,2026-06-22
aruco:57,30,2026-05-29,false,,,
aruco:58,26,2026-05-29,false,,,
aruco:67,55,2026-05-29,false,,,
aruco:68,22,2026-05-28,false,,,
aruco:70,1,2026-05-02,true,2026-05-28,,
aruco:71,29,2026-05-21,false,,,
aruco:72,26,2026-05-28,false,,,
aruco:73,21,2026-05-21,false,,,
aruco:74,20,2026-05-28,true,2026-06-02,,
aruco:75,25,2026-05-28,false,,,
aruco:76,15,2026-05-28,false,,,
aruco:77,11,2026-05-28,false,,,
aruco:78,12,2026-05-28,false,,,
aruco:79,5,2026-05-21,false,,,
aruco:80,4,2026-05-21,false,,,
aruco:81,7,2026-05-28,false,,,
aruco:82,29,2026-05-28,false,,,
aruco:83,31,2026-05-21,false,,,
aruco:84,19,2026-05-28,false,,,
aruco:85,8,2026-05-21,false,,,
aruco:86,6,2026-05-28,false,,,
aruco:87,3,2026-05-28,false,,,
aruco:88,25,2026-05-21,false,,,
aruco:89,20,2026-05-21,false,,,
aruco:90,11,2026-05-21,false,,,
aruco:91,32,2026-05-21,false,,,
aruco:92,1,2026-05-28,false,,,
aruco:93,4,2026-05-28,false,,,
aruco:94,14,2026-05-28,false,,,
aruco:95,7,2026-05-21,false,,,
aruco:96,2,2026-05-21,false,,,
aruco:97,28,2026-05-28,true,2026-06-10,,
aruco:98,30,2026-05-28,false,,,
aruco:99,26,2026-05-21,false,,,
aruco:100,9;10,2026-05-21,false,,,
aruco:101,16,2026-05-28,false,,,
aruco:102,8,2026-05-28,false,,,
aruco:103,12,2026-05-21,false,,,
aruco:104,1,2026-05-21,false,,,
aruco:105,13,2026-05-21,false,,,
aruco:107,2,2026-05-28,false,,,
aruco:108,18,2026-05-28,false,,,
aruco:109,30,2026-05-21,false,,,
aruco:110,18,2026-05-21,false,,,
aruco:111,24,2026-05-28,false,,,
aruco:112,34,2026-05-21,false,,,
aruco:113,15,2026-05-21,false,,,
aruco:114,17,2026-05-28,false,,,
aruco:115,14,2026-05-21,false,,,
aruco:116,17,2026-05-21,false,,,
aruco:117,9,2026-05-28,true,2026-06-02,,
aruco:118,23,2026-05-28,false,,,
aruco:119,16,2026-05-21,false,,,
aruco:120,22,2026-05-21,true,2026-05-29,,
aruco:121,3,2026-05-21,false,,,
aruco:122,28,2026-05-21,false,,,
aruco:123,13,2026-05-28,false,,,
aruco:124,31,2026-05-28,false,,,
aruco:125,5,2026-05-28,false,,,
aruco:127,27,2026-05-21,false,,,
aruco:128,27,2026-05-28,false,,,
aruco:129,6,2026-05-21,false,,,
aruco:130,24,2026-05-21,false,,,
aruco:131,23,2026-05-21,false,,,
aruco:132,10,2026-05-28,false,,,
aruco:133,19,2026-05-21,false,,,
aruco:134,1,2026-06-01,false,,,
aruco:135,21,2026-06-01,false,,,
aruco:136,12,2026-06-01,false,,,
aruco:137,10,2026-06-01,false,,,
aruco:138,24,2026-06-01,false,,,
aruco:139,33,2026-05-02,false,,,
aruco:140,2,2026-06-01,false,,,
aruco:141,22,2026-06-01,true,2026-06-17,,
aruco:143,23,2026-06-01,false,,,
aruco:144,25,2026-05-02,false,,,
aruco:145,8,2026-05-02,false,,,
aruco:146,20,2026-06-01,false,,,
aruco:147,3,2026-06-01,false,,,
aruco:148,18,2026-06-01,true,2026-06-02,,
aruco:149,8,2026-06-01,false,,,
aruco:150,4,2026-06-01,false,,,
aruco:151,16,2026-06-01,false,,,
aruco:152,14,2026-06-02,false,,,
aruco:153,2,2026-06-02,false,,,
aruco:154,15,2026-06-01,false,,,
aruco:155,9,2026-06-01,false,,,
aruco:156,17,2026-06-01,false,,,
aruco:158,9,2026-05-02,false,,,
aruco:159,20,2026-06-10,false,,,
aruco:161,9,2026-06-10,false,,,
aruco:162,30,2026-06-01,false,,,
aruco:163,6,2026-06-01,false,,,
aruco:164,26,2026-06-01,false,,,
aruco:165,11,2026-06-01,false,,,
aruco:166,48,2026-05-29,false,,,
aruco:167,53,2026-05-29,false,,,
aruco:168,52,2026-05-29,false,,,
aruco:169,50,2026-05-29,false,,,
aruco:170,56,2026-05-29,false,,,
aruco:172,51,2026-05-29,false,,,
aruco:173,29,2026-06-01,false,,,
aruco:174,57,2026-05-29,false,,,
aruco:175,54,2026-05-29,false,,,
aruco:176,28,2026-06-01,false,,,
aruco:177,19,2026-06-01,false,,,
aruco:179,44,2026-05-29,false,,,
aruco:180,10,2026-05-02,false,,,
aruco:181,60,2026-05-29,false,,,
aruco:182,1,2026-06-02,false,,,
aruco:183,7,2026-06-01,false,,,
aruco:184,5,2026-06-01,false,,,
aruco:185,27,2026-06-01,false,,,
aruco:187,46,2026-05-29,false,,,
aruco:188,61,2026-05-29,true,2026-06-22,2026-06-23,
aruco:189,47,2026-05-29,false,,,
aruco:190,49,2026-05-29,false,,,
aruco:191,40,2026-05-29,false,,,
aruco:192,58,2026-05-29,false,,,
aruco:193,13,2026-06-01,false,,,
aruco:195,42,2026-05-29,false,,,
aruco:196,25,2026-06-01,false,,,
aruco:197,43,2026-05-29,false,,,
aruco:200,59,2026-05-29,false,,,
aruco:201,5,2026-06-10,false,,,
aruco:204,10,2026-06-10,false,,,
aruco:205,6,2026-05-02,true,2026-06-10,2026-06-16,
aruco:206,3,2026-05-02,true,2026-06-02,,
aruco:207,21,2026-05-02,false,,,
aruco:208,19,2026-06-10,false,,,
aruco:209,12,2026-06-10,false,,,
aruco:210,23,2026-05-02,false,,,
aruco:211,27,2026-05-02,false,,,
aruco:212,1,2026-06-10,false,,,
aruco:213,4,2026-05-02,false,,,
aruco:214,26,2026-06-10,false,,,
aruco:215,27,2026-06-10,false,,,
aruco:216,31,2026-06-10,false,,,
aruco:217,6,2026-06-10,false,,,
aruco:218,13,2026-06-10,false,,,
aruco:219,2,2026-06-10,false,,,
aruco:220,20,2026-05-02,false,,,
aruco:221,4,2026-06-02,false,,,
aruco:222,24,2026-06-10,true,2026-06-11,,
aruco:223,30,2026-06-10,false,,,
aruco:224,17,2026-05-02,false,,,
aruco:225,26,2026-05-02,false,,,
aruco:226,19,2026-05-02,false,,,
aruco:227,29,2026-05-02,false,,,
aruco:228,16,2026-05-02,false,,,
aruco:229,11,2026-06-10,false,,,
aruco:230,3,2026-06-02,false,,,
aruco:231,22,2026-05-02,false,,,
aruco:232,32,2026-06-10,false,,,
aruco:233,17,2026-06-10,true,2026-06-16,2026-06-17,
aruco:234,23,2026-06-10,false,,,
aruco:235,8,2026-06-02,false,,,
aruco:237,22,2026-06-10,false,,,
aruco:238,3,2026-06-10,false,,,
aruco:239,16,2026-06-10,false,,,
aruco:240,5,2026-05-02,true,2026-06-10,,
aruco:241,5,2026-06-02,false,,,
aruco:242,21,2026-06-10,false,,,
aruco:243,29,2026-06-10,false,,,
aruco:244,12,2026-05-02,false,,,
aruco:245,18,2026-05-02,false,,,
aruco:246,4,2026-06-10,false,,,
aruco:247,24,2026-05-02,false,,,
aruco:248,14,2026-05-02,true,2026-06-11,,
aruco:250,8,2026-06-10,false,,,
aruco:251,7,2026-05-02,false,,,
aruco:252,31,2026-05-02,false,,,
aruco:253,32,2026-05-02,false,,,
aruco:254,15,2026-06-10,false,,,
aruco:255,28,2026-06-10,false,,,
