assigned_tag,first_capture_date,recapture_date,recapture_number,days_since_first_capture
aruco:70,2026-05-02,2026-05-28,1,26
aruco:120,2026-05-21,2026-05-29,1,8
aruco:37,2026-05-02,2026-05-29,1,27
aruco:37,2026-05-02,2026-06-01,2,30
aruco:117,2026-05-28,2026-06-02,1,5
aruco:148,2026-06-01,2026-06-02,1,1
aruco:206,2026-05-02,2026-06-02,1,31
aruco:74,2026-05-28,2026-06-02,1,5
aruco:205,2026-05-02,2026-06-10,1,39
aruco:240,2026-05-02,2026-06-10,1,39
aruco:56,2026-05-29,2026-06-10,1,12
aruco:97,2026-05-28,2026-06-10,1,13
aruco:222,2026-06-10,2026-06-11,1,1
aruco:248,2026-05-02,2026-06-11,1,40
aruco:258,2026-05-02,2026-06-11,1,40
aruco:321,2026-06-10,2026-06-11,1,1
aruco:359,2026-06-10,2026-06-11,1,1
aruco:364,2026-06-10,2026-06-11,1,1
aruco:456,2026-06-10,2026-06-11,1,1
aruco:2,2026-05-29,2026-06-16,1,18
aruco:205,2026-05-02,2026-06-16,2,45
aruco:233,2026-06-10,2026-06-16,1,6
aruco:273,2026-06-11,2026-06-16,1,5
aruco:285,2026-06-11,2026-06-16,1,5
aruco:306,2026-06-11,2026-06-16,1,5
aruco:322,2026-06-11,2026-06-16,1,5
aruco:324,2026-06-11,2026-06-16,1,5
aruco:328,2026-06-11,2026-06-16,1,5
aruco:358,2026-06-11,2026-06-16,1,5
aruco:385,2026-06-11,2026-06-16,1,5
aruco:416,2026-06-11,2026-06-16,1,5
aruco:417,2026-06-10,2026-06-16,1,6
aruco:428,2026-06-10,2026-06-16,1,6
aruco:462,2026-06-11,2026-06-16,1,5
aruco:467,2026-06-11,2026-06-16,1,5
aruco:476,2026-06-11,2026-06-16,1,5
aruco:141,2026-06-01,2026-06-17,1,16
aruco:233,2026-06-10,2026-06-17,2,7
aruco:321,2026-06-10,2026-06-17,2,7
aruco:355,2026-06-11,2026-06-17,1,6
aruco:390,2026-06-11,2026-06-17,1,6
aruco:397,2026-06-11,2026-06-17,1,6
aruco:416,2026-06-11,2026-06-17,2,6
aruco:431,2026-06-11,2026-06-17,1,6
aruco:449,2026-06-11,2026-06-17,1,6
aruco:453,2026-06-10,2026-06-17,1,7
aruco:483,2026-06-16,2026-06-17,1,1
aruco:490,2026-06-16,2026-06-17,1,1
aruco:536,2026-06-16,2026-06-17,1,1
aruco:56,2026-05-29,2026-06-17,2,19
aruco:608,2026-06-16,2026-06-17,1,1
aruco:641,2026-06-16,2026-06-17,1,1
aruco:666,2026-06-16,2026-06-17,1,1
aruco:692,2026-06-16,2026-06-17,1,1
aruco:705,2026-06-11,2026-06-17,1,6
aruco:734,2026-06-16,2026-06-17,1,1
aruco:188,2026-05-29,2026-06-22,1,24
aruco:273,2026-06-11,2026-06-22,2,11
aruco:321,2026-06-10,2026-06-22,3,12
aruco:475,2026-06-16,2026-06-22,1,6
aruco:519,2026-06-17,2026-06-22,1,5
aruco:536,2026-06-16,2026-06-22,2,6
aruco:539,2026-06-17,2026-06-22,1,5
aruco:56,2026-05-29,2026-06-22,3,24
aruco:608,2026-06-16,2026-06-22,2,6
aruco:615,2026-06-17,2026-06-22,1,5
aruco:655,2026-06-16,2026-06-22,1,6
aruco:657,2026-06-17,2026-06-22,1,5
aruco:188,2026-05-29,2026-06-23,2,25
aruco:492,2026-06-22,2026-06-23,1,1
aruco:502,2026-06-22,2026-06-23,1,1
aruco:508,2026-06-22,2026-06-23,1,1
aruco:554,2026-06-16,2026-06-23,1,7
