capture_date,unique_tagged_appearance_count,aruco_captures,n8tag_captures,new_bees_tagged,new_aruco_tags,new_n8tags,recaptured_aruco_individuals,cumulative_unique_bees
2026-05-02,32,32,0,32,32,0,0,32
2026-05-08,0,0,0,0,0,0,0,32
2026-05-10,0,0,0,0,0,0,0,32
2026-05-13,0,0,0,0,0,0,0,32
2026-05-21,32,32,0,32,32,0,0,64
2026-05-28,42,42,0,41,41,0,1,105
2026-05-29,61,61,0,59,59,0,2,164
2026-06-01,30,30,0,29,29,0,1,193
2026-06-02,14,14,0,10,10,0,4,203
2026-06-10,115,115,0,111,111,0,4,314
2026-06-11,122,122,0,115,115,0,7,429
2026-06-16,102,102,0,85,85,0,17,514
2026-06-17,72,72,0,52,52,0,20,566
2026-06-22,57,57,0,45,45,0,12,611
2026-06-23,45,45,0,37,37,0,8,648
2026-06-24,44,44,0,36,36,0,8,684
2026-06-30,9,9,0,9,9,0,0,693
2026-07-01,25,25,0,25,25,0,0,718
2026-07-06,14,14,0,14,14,0,0,732
2026-07-07,69,69,0,64,64,0,5,796
2026-07-08,46,46,0,40,40,0,6,836
2026-07-13,21,21,0,17,17,0,4,853
2026-07-14,53,53,0,44,44,0,9,897
2026-07-15,30,30,0,19,19,0,11,916
2026-07-21,31,31,0,28,28,0,3,944
2026-07-22,31,31,0,23,23,0,8,967
2026-07-27,18,9,9,9,0,9,9,976
2026-07-28,23,4,19,19,0,19,4,995
